product_title,shopify_product_id,prepaid
Bahama Babe - 2 Items,4399644442682,f
Bahama Babe - 3 Items,4399644639290,f
Bahama Babe - 5 Items,4399644934202,f
Berry Crush - 2 Items,4366057209914,f
Berry Crush - 3 Items,4366057406522,f
Berry Crush - 5 Items,4366057963578,f
Berry Crush - 5 Items  Auto renew,4366057963578,f
Blue Skies - 2 Items,4398406959162,f
Blue Skies - 3 Items,4398408073274,f
Blue Skies - 5 Items,4398409089082,f
Calypso - 2 Items,4429044121658,f
Calypso - 3 Items,4429051559994,f
Calypso - 5 Items,4429052051514,f
Citrus Kick - 2 Items,4428799148090,f
Citrus Kick - 3 Items,4428800327738,f
Citrus Kick - 3 Items Auto renew,4428800327738,f
Citrus Kick - 5 Items,4428803113018,f
City Limits - 2 Items,4366060453946,f
City Limits - 3 Items,4366061174842,f
City Limits - 5 Items,4366066024506,f
Cupids Kiss - 2 Items,4382377443386,f
Cupids Kiss - The March Collection (2020),4382378229818,f
Dream On - 3 Items,4408153833530,f
Ellie Picks - 3 Items,4399742746682,f
Ellie Picks - 5 Items,4399742910522,f
Floral Bliss - 3 Items,4320725106746,f
Golden Girl - 2 Items,4438599565370,f
Golden Girl - 3 Items,4438600876090,f
Golden Girl - 5 Items,4438603169850,f
Kaleidoscope - 2 Items,4408154587194,f
Kaleidoscope - 3 Items,4408154718266,f
Matcha Cha Cha - 2 Items,4408142331962,f
Matcha Cha Cha - 3 Items,4408142463034,f
Matcha Cha Cha - 3 Items Auto renew,4408142463034,f
Matcha Cha Cha - 5 Items,4408153047098,f
Natural Fit - 2 Items,4428897943610,f
Natural Fit - 3 Items,4428899516474,f
Natural Fit - 5 Items,4428900532282,f
Pacific Mist - 2 Items,4427335696442,f
Pacific Mist - 3 Items,4427336384570,f
Pacific Mist - 5 Items,4427336777786,f
Paradise Cove - 2 Items,4366058225722,f
Paradise Cove - 3 Items,4366058782778,f
Paradise Cove - 5 Items,4366059143226,f
Pinky Swear - 2 Items,4429078659130,f
Pinky Swear - 3 Items,4429079576634,f
Pinky Swear - 5 Items,4429080035386,f
Pinky Swear - 5 Items Auto renew,4429080035386,f
Spring Into Action - 2 Items,4438603726906,f
Spring Into Action - 3 Items,4438604349498,f
Spring Into Action - 5 Items,4438605267002,f
Supernova - 2 Items,4382368825402,f
Tie Game - 2 Items,4429126041658,f
Tie Game - 3 Items,4429126860858,f
Tie Game - 5 Items,4429130137658,f
Under The Radar - 3 Items,4398464565306,f
